SR Number,Status,Sub Status
1-730997166,Queued,Awaiting Assignment
1-730997166,Accepted,In Progress
1-730997166,Accepted,Wait - User
1-730997166,Completed,Resolved
1-730997166,Completed,Closed
1-730997865,Accepted,In Progress
1-730997865,Accepted,In Progress
1-730997865,Queued,Awaiting Assignment
1-730997865,Accepted,In Progress
1-730997865,Accepted,Assigned
1-730997865,Accepted,In Progress
1-730997865,Queued,Awaiting Assignment
1-730997865,Accepted,In Progress
1-730997865,Accepted,Assigned
1-730997865,Accepted,In Progress
1-730997865,Accepted,Wait - Implementation
1-730997865,Accepted,In Progress
1-730997865,Completed,Resolved
1-730997865,Completed,Closed
1-731025329,Accepted,In Progress
1-731025329,Accepted,In Progress
1-731025329,Queued,Awaiting Assignment
1-731025329,Accepted,In Progress
1-731025329,Queued,Awaiting Assignment
1-731025329,Accepted,In Progress
1-731025329,Accepted,Wait - Implementation
1-731025329,Accepted,Wait - User
1-731025329,Completed,Resolved
1-731025329,Completed,Closed
1-731050483,Accepted,In Progress
1-731050483,Accepted,In Progress
1-731050483,Accepted,In Progress
1-731050483,Queued,Awaiting Assignment
1-731050483,Accepted,In Progress
1-731050483,Accepted,Wait - User
1-731050483,Queued,Awaiting Assignment
1-731050483,Accepted,In Progress
1-731050483,Accepted,In Progress
1-731050483,Accepted,Wait
1-731050483,Accepted,Assigned
1-731050483,Accepted,In Progress
1-731050483,Accepted,Wait - User
1-731050483,Completed,Resolved
1-731050483,Completed,Closed
1-731050573,Accepted,In Progress
1-731050573,Accepted,In Progress
1-731050573,Queued,Awaiting Assignment
1-731050573,Accepted,In Progress
1-731050573,Accepted,Wait
1-731050573,Queued,Awaiting Assignment
1-731050573,Accepted,In Progress
1-731050573,Queued,Awaiting Assignment
1-731050573,Accepted,In Progress
1-731050573,Accepted,Assigned
1-731050573,Accepted,In Progress
1-731050573,Accepted,Wait - User
1-731050573,Accepted,In Progress
1-731050573,Accepted,Wait - User
1-731050573,Accepted,In Progress
1-731050573,Completed,Resolved
1-731050573,Completed,Closed
1-731064118,Accepted,In Progress
1-731064118,Accepted,In Progress
1-731064118,Queued,Awaiting Assignment
1-731064118,Accepted,In Progress
1-731064118,Accepted,Wait - Implementation
1-731064118,Completed,Resolved
1-731064118,Completed,Closed
1-731064788,Accepted,In Progress
1-731064788,Accepted,In Progress
1-731064788,Queued,Awaiting Assignment
1-731064788,Accepted,In Progress
1-731064788,Accepted,Wait
1-731064788,Completed,Resolved
1-731064788,Completed,Closed
1-731064951,Accepted,In Progress
1-731064951,Accepted,In Progress
1-731064951,Queued,Awaiting Assignment
1-731064951,Accepted,In Progress
1-731064951,Queued,Awaiting Assignment
1-731064951,Accepted,In Progress
1-731064951,Accepted,Wait - Customer
1-731064951,Accepted,Wait - User
1-731064951,Accepted,In Progress
1-731064951,Queued,Awaiting Assignment
1-731064951,Accepted,In Progress
1-731064951,Accepted,Wait
1-731064951,Completed,Resolved
1-731064951,Accepted,In Progress
1-731064951,Queued,Awaiting Assignment
1-731064951,Queued,Awaiting Assignment
1-731064951,Accepted,In Progress
1-731064951,Queued,Awaiting Assignment
1-731064951,Accepted,In Progress
1-731064951,Accepted,Wait - Vendor
1-731064951,Completed,Resolved
1-731064951,Completed,Closed
1-731065059,Accepted,In Progress
1-731065059,Accepted,In Progress
1-731065059,Accepted,In Progress
1-731065059,Queued,Awaiting Assignment
1-731065059,Accepted,In Progress
1-731065059,Accepted,Wait - User
1-731065059,Queued,Awaiting Assignment
1-731065059,Accepted,In Progress
1-731065059,Queued,Awaiting Assignment
1-731065059,Accepted,In Progress
1-731065059,Queued,Awaiting Assignment
1-731065059,Accepted,In Progress
1-731065059,Queued,Awaiting Assignment
1-731065059,Accepted,In Progress
1-731065059,Queued,Awaiting Assignment
1-731065059,Accepted,In Progress
1-731065059,Accepted,Wait - User
1-731065059,Queued,Awaiting Assignment
1-731065059,Accepted,In Progress
1-731065059,Queued,Awaiting Assignment
1-731065059,Accepted,In Progress
1-731065059,Accepted,Assigned
1-731065059,Accepted,In Progress
1-731065059,Accepted,Wait
1-731065059,Accepted,In Progress
1-731065059,Queued,Awaiting Assignment
1-731065059,Accepted,In Progress
1-731065059,Queued,Awaiting Assignment
1-731065059,Queued,Awaiting Assignment
1-731065059,Accepted,In Progress
1-731065059,Accepted,Assigned
1-731065059,Accepted,In Progress
1-731065059,Completed,Resolved
1-731065059,Accepted,In Progress
1-731065059,Completed,Resolved
1-731065059,Completed,Closed
1-731065133,Accepted,In Progress
1-731065133,Accepted,In Progress
1-731065133,Completed,Resolved
1-731065133,Accepted,In Progress
1-731065133,Queued,Awaiting Assignment
1-731065133,Accepted,In Progress
1-731065133,Accepted,Wait - Implementation
1-731065133,Queued,Awaiting Assignment
1-731065133,Accepted,In Progress
1-731065133,Accepted,Wait - User
1-731065133,Completed,Resolved
1-731065133,Completed,Closed
1-731065533,Accepted,In Progress
1-731065533,Accepted,In Progress
1-731065533,Queued,Awaiting Assignment
1-731065533,Accepted,In Progress
1-731065533,Queued,Awaiting Assignment
1-731065533,Accepted,In Progress
1-731065533,Accepted,Wait - User
1-731065533,Accepted,Wait - User
1-731065533,Queued,Awaiting Assignment
1-731065533,Accepted,In Progress
1-731065533,Accepted,Wait
1-731065533,Accepted,In Progress
1-731065533,Queued,Awaiting Assignment
1-731065533,Accepted,In Progress
1-731065533,Completed,Resolved
1-731065533,Completed,Closed
1-731069701,Accepted,In Progress
1-731069701,Queued,Awaiting Assignment
1-731069701,Queued,Awaiting Assignment
1-731069701,Accepted,In Progress
1-731069701,Accepted,Wait
1-731069701,Completed,Resolved
1-731069701,Completed,Closed
1-731073050,Accepted,In Progress
1-731073050,Accepted,In Progress
1-731073050,Queued,Awaiting Assignment
1-731073050,Accepted,In Progress
1-731073050,Accepted,Wait
1-731073050,Completed,Resolved
1-731073050,Queued,Awaiting Assignment
1-731073050,Accepted,In Progress
1-731073050,Accepted,Wait - Vendor
1-731073050,Accepted,Wait
1-731073050,Completed,Resolved
1-731073050,Completed,Closed
1-731088011,Accepted,In Progress
1-731088011,Accepted,In Progress
1-731088011,Queued,Awaiting Assignment
1-731088011,Accepted,In Progress
1-731088011,Queued,Awaiting Assignment
1-731088011,Accepted,In Progress
1-731088011,Accepted,Wait - User
1-731088011,Accepted,In Progress
1-731088011,Accepted,Wait - User
1-731088011,Completed,Resolved
1-731088011,Completed,Closed
1-731088401,Accepted,In Progress
1-731088401,Accepted,In Progress
1-731088401,Completed,Resolved
1-731088401,Completed,Closed
1-731094128,Accepted,In Progress
1-731094128,Accepted,In Progress
1-731094128,Queued,Awaiting Assignment
1-731094128,Accepted,In Progress
1-731094128,Queued,Awaiting Assignment
1-731094128,Accepted,In Progress
1-731094128,Queued,Awaiting Assignment
1-731094128,Accepted,In Progress
1-731094128,Accepted,Assigned
1-731094128,Accepted,In Progress
1-731094128,Accepted,Wait - User
1-731094128,Accepted,In Progress
1-731094128,Accepted,Assigned
1-731094128,Accepted,In Progress
1-731094128,Accepted,Wait - User
1-731094128,Accepted,In Progress
1-731094128,Completed,Resolved
1-731094128,Completed,Closed
1-731094429,Accepted,In Progress
1-731094429,Accepted,In Progress
1-731094429,Accepted,In Progress
1-731094429,Queued,Awaiting Assignment
1-731094429,Accepted,In Progress
1-731094429,Queued,Awaiting Assignment
1-731094429,Accepted,In Progress
1-731094429,Accepted,Wait - User
1-731094429,Accepted,In Progress
1-731094429,Queued,Awaiting Assignment
1-731094429,Accepted,In Progress
1-731094429,Queued,Awaiting Assignment
1-731094429,Accepted,In Progress
1-731094429,Accepted,Assigned
1-731094429,Accepted,In Progress
1-731094429,Accepted,Wait
1-731094429,Accepted,In Progress
1-731094429,Accepted,Wait
1-731094429,Accepted,In Progress
1-731094429,Accepted,Wait
1-731094429,Accepted,In Progress
1-731094429,Accepted,Wait - User
1-731094429,Accepted,In Progress
1-731094429,Accepted,Wait - User
1-731094429,Accepted,In Progress
1-731094429,Completed,Resolved
1-731094429,Completed,Closed
1-731094556,Accepted,In Progress
1-731094556,Accepted,In Progress
1-731094556,Accepted,Wait
1-731094556,Accepted,Wait
1-731094556,Completed,Resolved
1-731094556,Completed,Closed
1-731100012,Accepted,In Progress
1-731100012,Accepted,In Progress
1-731100012,Queued,Awaiting Assignment
1-731100012,Accepted,In Progress
1-731100012,Accepted,Wait - User
1-731100012,Accepted,Assigned
1-731100012,Accepted,In Progress
1-731100012,Accepted,Wait
1-731100012,Accepted,Assigned
1-731100012,Accepted,In Progress
1-731100012,Accepted,Wait - User
1-731100012,Accepted,Assigned
1-731100012,Accepted,In Progress
1-731100012,Accepted,Wait
1-731100012,Accepted,Wait - User
1-731100012,Accepted,Assigned
1-731100012,Accepted,In Progress
1-731100012,Accepted,Wait - User
1-731100012,Completed,Resolved
1-731100012,Completed,Closed
1-731100744,Accepted,In Progress
1-731100744,Accepted,In Progress
1-731100744,Accepted,Wait - User
1-731100744,Accepted,Wait - User
1-731100744,Completed,Resolved
1-731100744,Completed,Closed
1-731102081,Accepted,In Progress
1-731102081,Accepted,In Progress
1-731102081,Queued,Awaiting Assignment
1-731102081,Accepted,In Progress
1-731102081,Completed,Resolved
1-731102081,Completed,Closed
1-731102310,Accepted,In Progress
1-731102310,Accepted,In Progress
1-731102310,Queued,Awaiting Assignment
1-731102310,Accepted,In Progress
1-731102310,Accepted,Wait - User
1-731102310,Completed,Resolved
1-731102310,Completed,Closed
1-731113654,Accepted,In Progress
1-731113654,Accepted,In Progress
1-731113654,Completed,Resolved
1-731113654,Completed,Closed
1-731117221,Accepted,In Progress
1-731117221,Accepted,In Progress
1-731117221,Accepted,Wait
1-731117221,Queued,Awaiting Assignment
1-731117221,Accepted,In Progress
1-731117221,Accepted,Assigned
1-731117221,Accepted,In Progress
1-731117221,Accepted,Assigned
1-731117221,Accepted,In Progress
1-731117221,Completed,Resolved
1-731117221,Completed,Closed
1-731123267,Accepted,In Progress
1-731123267,Accepted,In Progress
1-731123267,Queued,Awaiting Assignment
1-731123267,Accepted,In Progress
1-731123267,Accepted,Wait - User
1-731123267,Queued,Awaiting Assignment
1-731123267,Accepted,In Progress
1-731123267,Accepted,Wait - User
1-731123267,Accepted,In Progress
1-731123267,Completed,Resolved
1-731123267,Completed,Closed
1-731134946,Accepted,In Progress
1-731134946,Accepted,In Progress
1-731134946,Completed,In Call
1-731134946,Accepted,In Progress
1-731134946,Accepted,Wait
1-731134946,Accepted,In Progress
1-731134946,Queued,Awaiting Assignment
1-731134946,Accepted,In Progress
1-731134946,Accepted,Assigned
1-731134946,Accepted,In Progress
1-731134946,Accepted,Assigned
1-731134946,Accepted,In Progress
1-731134946,Accepted,Wait - User
1-731134946,Queued,Awaiting Assignment
1-731134946,Accepted,In Progress
1-731134946,Accepted,Assigned
1-731134946,Accepted,In Progress
1-731134946,Completed,Resolved
1-731134946,Completed,Closed
1-731135262,Accepted,In Progress
1-731135262,Accepted,In Progress
1-731135262,Queued,Awaiting Assignment
1-731135262,Accepted,In Progress
1-731135262,Accepted,Assigned
1-731135262,Accepted,In Progress
1-731135262,Accepted,Wait
1-731135262,Completed,Resolved
1-731135262,Completed,Closed
1-731142213,Accepted,In Progress
1-731142213,Accepted,In Progress
1-731142213,Queued,Awaiting Assignment
1-731142213,Accepted,In Progress
1-731142213,Accepted,Wait - User
1-731142213,Queued,Awaiting Assignment
1-731142213,Accepted,In Progress
1-731142213,Accepted,Assigned
1-731142213,Accepted,In Progress
1-731142213,Queued,Awaiting Assignment
1-731142213,Accepted,In Progress
1-731142213,Accepted,Assigned
1-731142213,Accepted,In Progress
1-731142213,Queued,Awaiting Assignment
1-731142213,Accepted,In Progress
1-731142213,Accepted,Assigned
1-731142213,Accepted,In Progress
1-731142213,Queued,Awaiting Assignment
1-731142213,Accepted,In Progress
1-731142213,Accepted,Wait
1-731142213,Accepted,Wait
1-731142213,Queued,Awaiting Assignment
1-731142213,Accepted,In Progress
1-731142213,Queued,Awaiting Assignment
1-731142213,Accepted,In Progress
1-731142213,Accepted,Assigned
1-731142213,Accepted,In Progress
1-731142213,Accepted,Assigned
1-731142213,Accepted,In Progress
1-731142213,Accepted,Wait - User
1-731142213,Completed,Resolved
1-731142213,Completed,Closed
1-731142897,Accepted,In Progress
1-731142897,Accepted,In Progress
1-731142897,Queued,Awaiting Assignment
1-731142897,Accepted,In Progress
1-731142897,Accepted,Wait - Vendor
1-731142897,Queued,Awaiting Assignment
1-731142897,Accepted,In Progress
1-731142897,Queued,Awaiting Assignment
1-731142897,Accepted,In Progress
1-731142897,Queued,Awaiting Assignment
1-731142897,Accepted,In Progress
1-731142897,Queued,Awaiting Assignment
1-731142897,Accepted,In Progress
1-731142897,Queued,Awaiting Assignment
1-731142897,Accepted,In Progress
1-731142897,Accepted,Assigned
1-731142897,Accepted,In Progress
1-731142897,Queued,Awaiting Assignment
1-731142897,Accepted,In Progress
1-731142897,Queued,Awaiting Assignment
1-731142897,Accepted,In Progress
1-731142897,Accepted,Assigned
1-731142897,Accepted,In Progress
1-731142897,Accepted,Wait
1-731142897,Queued,Awaiting Assignment
1-731142897,Accepted,In Progress
1-731142897,Accepted,In Progress
1-731142897,Queued,Awaiting Assignment
1-731142897,Accepted,In Progress
1-731142897,Accepted,Assigned
1-731142897,Accepted,In Progress
1-731142897,Queued,Awaiting Assignment
1-731142897,Accepted,In Progress
1-731142897,Accepted,Wait - Vendor
1-731142897,Completed,Resolved
1-731142897,Completed,Closed
1-731147913,Accepted,In Progress
1-731147913,Accepted,In Progress
1-731147913,Queued,Awaiting Assignment
1-731147913,Accepted,In Progress
1-731147913,Accepted,Assigned
1-731147913,Accepted,In Progress
1-731147913,Accepted,Wait
1-731147913,Completed,Resolved
1-731147913,Completed,Closed
1-731151185,Accepted,In Progress
1-731151185,Accepted,In Progress
1-731151185,Queued,Awaiting Assignment
1-731151185,Accepted,In Progress
1-731151185,Queued,Awaiting Assignment
1-731151185,Accepted,In Progress
1-731151185,Accepted,Wait - User
1-731151185,Accepted,Wait - User
1-731151185,Completed,Resolved
1-731151185,Completed,Closed
1-731154311,Accepted,In Progress
1-731154311,Accepted,In Progress
1-731154311,Accepted,Wait - User
1-731154311,Completed,Resolved
1-731154311,Completed,Closed
1-731154499,Accepted,In Progress
1-731154499,Accepted,In Progress
1-731154499,Accepted,Wait
1-731154499,Accepted,In Progress
1-731154499,Queued,Awaiting Assignment
1-731154499,Accepted,In Progress
1-731154499,Accepted,Wait - User
1-731154499,Completed,Resolved
1-731154499,Completed,Closed
1-731154856,Accepted,In Progress
1-731154856,Accepted,In Progress
1-731154856,Queued,Awaiting Assignment
1-731154856,Accepted,In Progress
1-731154856,Queued,Awaiting Assignment
1-731154856,Accepted,In Progress
1-731154856,Accepted,Assigned
1-731154856,Accepted,In Progress
1-731154856,Accepted,Wait - User
1-731154856,Accepted,In Progress
1-731154856,Completed,Resolved
1-731154856,Completed,Closed
1-731157379,Accepted,In Progress
1-731157379,Accepted,In Progress
1-731157379,Queued,Awaiting Assignment
1-731157379,Accepted,In Progress
1-731157379,Accepted,Assigned
1-731157379,Accepted,In Progress
1-731157379,Accepted,Wait - Implementation
1-731157379,Completed,Resolved
1-731157379,Completed,Closed
1-731157904,Accepted,In Progress
1-731157904,Accepted,In Progress
1-731157904,Queued,Awaiting Assignment
1-731157904,Accepted,In Progress
1-731157904,Accepted,Assigned
1-731157904,Accepted,In Progress
1-731157904,Accepted,Assigned
1-731157904,Accepted,In Progress
1-731157904,Completed,Resolved
1-731157904,Completed,Closed
1-731170911,Accepted,In Progress
1-731170911,Accepted,In Progress
1-731170911,Accepted,Wait
1-731170911,Accepted,In Progress
1-731170911,Completed,Resolved
1-731170911,Completed,Closed
1-731177370,Accepted,In Progress
1-731177370,Accepted,In Progress
1-731177370,Queued,Awaiting Assignment
1-731177370,Accepted,In Progress
1-731177370,Queued,Awaiting Assignment
1-731177370,Accepted,In Progress
1-731177370,Accepted,Assigned
1-731177370,Accepted,In Progress
1-731177370,Queued,Awaiting Assignment
1-731177370,Accepted,In Progress
1-731177370,Queued,Awaiting Assignment
1-731177370,Accepted,In Progress
1-731177370,Queued,Awaiting Assignment
1-731177370,Accepted,In Progress
1-731177370,Queued,Awaiting Assignment
1-731177370,Accepted,In Progress
1-731177370,Accepted,Assigned
1-731177370,Accepted,In Progress
1-731177370,Queued,Awaiting Assignment
1-731177370,Accepted,In Progress
1-731177370,Queued,Awaiting Assignment
1-731177370,Accepted,In Progress
1-731177370,Accepted,Assigned
1-731177370,Accepted,In Progress
1-731177370,Accepted,Wait - User
1-731177370,Accepted,Wait - User
1-731177370,Completed,Resolved
1-731177370,Completed,Closed
1-731182383,Accepted,In Progress
1-731182383,Accepted,In Progress
1-731182383,Queued,Awaiting Assignment
1-731182383,Accepted,In Progress
1-731182383,Accepted,Wait
1-731182383,Accepted,Wait
1-731182383,Queued,Awaiting Assignment
1-731182383,Accepted,In Progress
1-731182383,Accepted,Wait
1-731182383,Accepted,Wait - User
1-731182383,Completed,Resolved
1-731182383,Completed,Closed
1-731182527,Accepted,In Progress
1-731182527,Accepted,In Progress
1-731182527,Accepted,Assigned
1-731182527,Accepted,In Progress
1-731182527,Accepted,Wait - Vendor
1-731182527,Completed,Resolved
1-731182527,Completed,Closed
1-731188940,Accepted,In Progress
1-731188940,Accepted,In Progress
1-731188940,Queued,Awaiting Assignment
1-731188940,Accepted,In Progress
1-731188940,Accepted,Wait - Implementation
1-731188940,Completed,Resolved
1-731188940,Completed,Closed
1-731208499,Accepted,In Progress
1-731208499,Accepted,In Progress
1-731208499,Queued,Awaiting Assignment
1-731208499,Queued,Awaiting Assignment
1-731208499,Accepted,In Progress
1-731208499,Queued,Awaiting Assignment
1-731208499,Accepted,In Progress
1-731208499,Completed,Resolved
1-731208499,Completed,Closed
1-731218589,Accepted,In Progress
1-731218589,Accepted,In Progress
1-731218589,Queued,Awaiting Assignment
1-731218589,Accepted,In Progress
1-731218589,Queued,Awaiting Assignment
1-731218589,Accepted,In Progress
1-731218589,Completed,Resolved
1-731218589,Completed,Closed
1-731228360,Accepted,In Progress
1-731228360,Accepted,In Progress
1-731228360,Queued,Awaiting Assignment
1-731228360,Accepted,In Progress
1-731228360,Accepted,Wait
1-731228360,Accepted,Wait - User
1-731228360,Completed,Resolved
1-731228360,Completed,Closed
1-731233155,Accepted,In Progress
1-731233155,Accepted,In Progress
1-731233155,Completed,In Call
1-731233155,Accepted,In Progress
1-731233155,Queued,Awaiting Assignment
1-731233155,Accepted,In Progress
1-731233155,Accepted,Assigned
1-731233155,Accepted,In Progress
1-731233155,Accepted,Wait - User
1-731233155,Accepted,In Progress
1-731233155,Accepted,In Progress
1-731233155,Queued,Awaiting Assignment
1-731233155,Accepted,In Progress
1-731233155,Queued,Awaiting Assignment
1-731233155,Accepted,In Progress
1-731233155,Accepted,In Progress
1-731233155,Queued,Awaiting Assignment
1-731233155,Accepted,In Progress
1-731233155,Queued,Awaiting Assignment
1-731233155,Accepted,In Progress
1-731233155,Accepted,Assigned
1-731233155,Accepted,In Progress
1-731233155,Accepted,Wait
1-731233155,Accepted,In Progress
1-731233155,Accepted,Wait - User
1-731233155,Queued,Awaiting Assignment
1-731233155,Accepted,In Progress
1-731233155,Accepted,In Progress
1-731233155,Accepted,Assigned
1-731233155,Accepted,In Progress
1-731233155,Accepted,Assigned
1-731233155,Accepted,In Progress
1-731233155,Completed,Resolved
1-731233155,Completed,Closed
1-731235386,Accepted,In Progress
1-731235386,Accepted,In Progress
1-731235386,Queued,Awaiting Assignment
1-731235386,Accepted,In Progress
1-731235386,Accepted,Wait
1-731235386,Completed,Resolved
1-731235386,Completed,Closed
1-731235536,Accepted,In Progress
1-731235536,Accepted,In Progress
1-731235536,Accepted,Wait
1-731235536,Queued,Awaiting Assignment
1-731235536,Accepted,In Progress
1-731235536,Accepted,Assigned
1-731235536,Accepted,In Progress
1-731235536,Accepted,Assigned
1-731235536,Accepted,In Progress
1-731235536,Accepted,Wait
1-731235536,Completed,Resolved
1-731235536,Completed,Closed
1-731241891,Accepted,In Progress
1-731241891,Accepted,In Progress
1-731241891,Queued,Awaiting Assignment
1-731241891,Accepted,In Progress
1-731241891,Accepted,Assigned
1-731241891,Accepted,In Progress
1-731241891,Accepted,Wait - User
1-731241891,Completed,Resolved
1-731241891,Completed,Closed
1-731266446,Accepted,In Progress
1-731266446,Accepted,In Progress
1-731266446,Accepted,Wait - User
1-731266446,Queued,Awaiting Assignment
1-731266446,Accepted,In Progress
1-731266446,Accepted,Wait
1-731266446,Accepted,Assigned
1-731266446,Accepted,In Progress
1-731266446,Queued,Awaiting Assignment
1-731266446,Accepted,In Progress
1-731266446,Queued,Awaiting Assignment
1-731266446,Accepted,In Progress
1-731266446,Completed,Resolved
1-731266446,Accepted,In Progress
1-731266446,Completed,Resolved
1-731266446,Completed,Closed
1-731266446,Accepted,In Progress
1-731266446,Completed,Resolved
1-731266446,Completed,Closed
1-731269853,Accepted,In Progress
1-731269853,Accepted,In Progress
1-731269853,Accepted,Wait - User
1-731269853,Accepted,In Progress
1-731269853,Queued,Awaiting Assignment
1-731269853,Accepted,In Progress
1-731269853,Accepted,Assigned
1-731269853,Accepted,In Progress
1-731269853,Accepted,Wait
1-731269853,Completed,Resolved
1-731269853,Completed,Closed
1-731273458,Queued,Awaiting Assignment
1-731273458,Accepted,In Progress
1-731273458,Queued,Awaiting Assignment
1-731273458,Accepted,In Progress
1-731273458,Accepted,In Progress
1-731273458,Accepted,Assigned
1-731273458,Accepted,In Progress
1-731273458,Completed,Resolved
1-731273458,Completed,Closed
1-731276604,Accepted,In Progress
1-731276604,Accepted,In Progress
1-731276604,Accepted,Wait
1-731276604,Queued,Awaiting Assignment
1-731276604,Accepted,In Progress
1-731276604,Accepted,Assigned
1-731276604,Accepted,In Progress
1-731276604,Accepted,Wait - User
1-731276604,Queued,Awaiting Assignment
1-731276604,Accepted,In Progress
1-731276604,Queued,Awaiting Assignment
1-731276604,Accepted,In Progress
1-731276604,Queued,Awaiting Assignment
1-731276604,Accepted,In Progress
1-731276604,Queued,Awaiting Assignment
1-731276604,Accepted,In Progress
1-731276604,Accepted,Assigned
1-731276604,Accepted,In Progress
1-731276604,Accepted,Wait
1-731276604,Accepted,In Progress
1-731276604,Queued,Awaiting Assignment
1-731276604,Accepted,In Progress
1-731276604,Queued,Awaiting Assignment
1-731276604,Accepted,In Progress
1-731276604,Accepted,Assigned
1-731276604,Accepted,In Progress
1-731276604,Accepted,Wait
1-731276604,Accepted,Wait - User
1-731276604,Accepted,In Progress
1-731276604,Completed,Resolved
1-731276604,Completed,Closed
1-731276779,Accepted,In Progress
1-731276779,Accepted,In Progress
1-731276779,Accepted,Wait - User
1-731276779,Accepted,In Progress
1-731276779,Completed,In Call
1-731278533,Accepted,In Progress
1-731278533,Accepted,In Progress
1-731278533,Queued,Awaiting Assignment
1-731278533,Accepted,In Progress
1-731278533,Queued,Awaiting Assignment
1-731278533,Accepted,In Progress
1-731278533,Accepted,Assigned
1-731278533,Accepted,In Progress
1-731278533,Accepted,Wait - Vendor
1-731278533,Completed,Resolved
1-731278533,Completed,Closed
1-731330695,Accepted,In Progress
1-731330695,Accepted,In Progress
1-731330695,Queued,Awaiting Assignment
1-731330695,Accepted,In Progress
1-731330695,Accepted,Wait - User
1-731330695,Completed,Resolved
1-731330695,Completed,Closed
1-731333657,Accepted,In Progress
1-731333657,Accepted,In Progress
1-731333657,Queued,Awaiting Assignment
1-731333657,Accepted,In Progress
1-731333657,Queued,Awaiting Assignment
1-731333657,Accepted,In Progress
1-731333657,Queued,Awaiting Assignment
1-731333657,Accepted,In Progress
1-731333657,Completed,Resolved
1-731333657,Completed,Closed
1-731333810,Accepted,In Progress
1-731333810,Accepted,In Progress
1-731333810,Queued,Awaiting Assignment
1-731333810,Accepted,In Progress
1-731333810,Accepted,Assigned
1-731333810,Accepted,Assigned
1-731333810,Accepted,In Progress
1-731333810,Completed,Resolved
1-731333810,Queued,Awaiting Assignment
1-731333810,Accepted,In Progress
1-731333810,Accepted,Assigned
1-731333810,Accepted,In Progress
1-731333810,Completed,Resolved
1-731333810,Queued,Awaiting Assignment
1-731333810,Accepted,In Progress
1-731333810,Completed,Resolved
1-731333810,Completed,Closed
1-731334678,Accepted,In Progress
1-731334678,Accepted,In Progress
1-731334678,Queued,Awaiting Assignment
1-731334678,Accepted,In Progress
1-731334678,Queued,Awaiting Assignment
1-731334678,Accepted,In Progress
1-731334678,Queued,Awaiting Assignment
1-731334678,Accepted,In Progress
1-731334678,Queued,Awaiting Assignment
1-731334678,Accepted,In Progress
1-731334678,Queued,Awaiting Assignment
1-731334678,Accepted,In Progress
1-731334678,Queued,Awaiting Assignment
1-731334678,Accepted,In Progress
1-731334678,Completed,Resolved
1-731334678,Completed,Closed
1-731336210,Queued,Awaiting Assignment
1-731336210,Accepted,In Progress
1-731336210,Queued,Awaiting Assignment
1-731336210,Accepted,In Progress
1-731336210,Completed,Resolved
1-731336210,Completed,Closed
1-731341641,Accepted,In Progress
1-731341641,Accepted,In Progress
1-731341641,Accepted,Wait - User
1-731341641,Accepted,In Progress
1-731341641,Queued,Awaiting Assignment
1-731341641,Accepted,In Progress
1-731341641,Accepted,Wait - User
1-731341641,Completed,Resolved
1-731341641,Accepted,Assigned
1-731341641,Accepted,In Progress
1-731341641,Queued,Awaiting Assignment
1-731341641,Accepted,In Progress
1-731341641,Accepted,Wait - User
1-731341641,Accepted,Assigned
1-731341641,Accepted,In Progress
1-731341641,Accepted,Wait - User
1-731341641,Queued,Awaiting Assignment
1-731341641,Accepted,In Progress
1-731341641,Queued,Awaiting Assignment
1-731341641,Accepted,In Progress
1-731341641,Accepted,Assigned
1-731341641,Accepted,In Progress
1-731341641,Completed,Resolved
1-731341641,Completed,Closed
1-731342385,Accepted,In Progress
1-731342385,Accepted,In Progress
1-731342385,Accepted,Wait - User
1-731342385,Accepted,In Progress
1-731342385,Completed,In Call
1-731382356,Accepted,In Progress
1-731382356,Accepted,In Progress
1-731382356,Accepted,Wait - User
1-731382356,Queued,Awaiting Assignment
1-731382356,Accepted,In Progress
1-731382356,Queued,Awaiting Assignment
1-731382356,Accepted,In Progress
1-731382356,Queued,Awaiting Assignment
1-731382356,Accepted,In Progress
1-731382356,Queued,Awaiting Assignment
1-731382356,Accepted,In Progress
1-731382356,Accepted,Assigned
1-731382356,Accepted,In Progress
1-731382356,Accepted,Wait - User
1-731382356,Accepted,In Progress
1-731382356,Completed,Resolved
1-731382356,Completed,Closed
1-731382414,Accepted,In Progress
1-731382414,Accepted,In Progress
1-731382414,Accepted,Wait - User
1-731382414,Completed,Resolved
1-731382414,Completed,Closed
1-731439432,Accepted,In Progress
1-731439432,Accepted,In Progress
1-731439432,Queued,Awaiting Assignment
1-731439432,Accepted,In Progress
1-731439432,Queued,Awaiting Assignment
1-731439432,Accepted,In Progress
1-731439432,Queued,Awaiting Assignment
1-731439432,Accepted,In Progress
1-731439432,Queued,Awaiting Assignment
1-731439432,Accepted,In Progress
1-731439432,Accepted,Wait - User
1-731439432,Accepted,In Progress
1-731439432,Queued,Awaiting Assignment
1-731439432,Accepted,In Progress
1-731439432,Queued,Awaiting Assignment
1-731439432,Accepted,In Progress
1-731439432,Queued,Awaiting Assignment
1-731439432,Accepted,In Progress
1-731439432,Queued,Awaiting Assignment
1-731439432,Accepted,In Progress
1-731439432,Accepted,Assigned
1-731439432,Accepted,In Progress
1-731439432,Completed,Resolved
1-731439432,Completed,Closed
1-731439441,Accepted,In Progress
1-731439441,Accepted,In Progress
1-731439441,Queued,Awaiting Assignment
1-731439441,Accepted,In Progress
1-731439441,Accepted,Assigned
1-731439441,Accepted,In Progress
1-731439441,Queued,Awaiting Assignment
1-731439441,Accepted,In Progress
